,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean Significance,Median Significance,Mean VTA Significance,Median VTA Significance,Task Category
59,EPI,6589,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofMr1/sub-6589_ses-ofMr1_task-CogBr_acq-EPI_run-1_cbv_pfstat.nii.gz,1.1506907939910889,0.7020012140274048,1.1300597190856934,0.7746206521987915,Block
60,EPI,6589,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofMr1/sub-6589_ses-ofMr1_task-CogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1085021495819092,0.6824573278427124,0.9205648899078369,0.6143977046012878,Phasic
61,EPI,6590,ofM,CogBm,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6590/ses-ofM/sub-6590_ses-ofM_task-CogBm_acq-EPI_run-1_cbv_pfstat.nii.gz,1.392827033996582,0.7963597774505615,5.372225284576416,2.588210105895996,Block
62,EPI,6590,ofM,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6590/ses-ofM/sub-6590_ses-ofM_task-CogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.3328847885131836,0.77861088514328,1.684954285621643,0.8136249780654907,Phasic
63,EPI,6591,ofM,CogBm,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6591/ses-ofM/sub-6591_ses-ofM_task-CogBm_acq-EPI_run-0_cbv_pfstat.nii.gz,1.5687565803527832,0.8886831998825073,6.829423427581787,6.103375434875488,Block
64,EPI,6591,ofM,CogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6591/ses-ofM/sub-6591_ses-ofM_task-CogP_acq-EPI_run-1_cbv_pfstat.nii.gz,1.7654364109039307,1.0166659355163574,1.2368767261505127,1.0206687450408936,Phasic
65,EPI,6592,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6592/ses-ofM/sub-6592_ses-ofM_task-CogBr_acq-EPI_run-0_cbv_pfstat.nii.gz,1.2462409734725952,0.7229957580566406,4.057827949523926,2.9818036556243896,Block
66,EPI,6592,ofMr1,CogMwf,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6592/ses-ofMr1/sub-6592_ses-ofMr1_task-CogMwf_acq-EPI_run-1_cbv_pfstat.nii.gz,1.1797806024551392,0.7164392471313477,3.8150036334991455,2.5111184120178223,Block
67,EPI,6593,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6593/ses-ofM/sub-6593_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_pfstat.nii.gz,1.1588588953018188,0.7115971446037292,1.0877845287322998,0.47845491766929626,Block
68,EPI,6593,ofM,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6593/ses-ofM/sub-6593_ses-ofM_task-CogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1302827596664429,0.6923519372940063,0.7097436189651489,0.4260064661502838,Phasic
69,EPI,6639,ofM,CogBm,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6639/ses-ofM/sub-6639_ses-ofM_task-CogBm_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1920733451843262,0.7129445672035217,6.259932994842529,6.039358615875244,Block
70,EPI,6639,ofM,CogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6639/ses-ofM/sub-6639_ses-ofM_task-CogP_acq-EPI_run-1_cbv_pfstat.nii.gz,1.127415657043457,0.7009670734405518,1.3720355033874512,0.8642748594284058,Phasic
71,EPI,6642,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6642/ses-ofM/sub-6642_ses-ofM_task-CogBr_acq-EPI_run-0_cbv_pfstat.nii.gz,1.204531192779541,0.7137017250061035,11.39246654510498,12.990400314331055,Block
72,EPI,6642,ofM,CogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6642/ses-ofM/sub-6642_ses-ofM_task-CogP_acq-EPI_run-1_cbv_pfstat.nii.gz,1.1487987041473389,0.7071516513824463,1.7000365257263184,1.649763584136963,Phasic
73,EPI,6643,ofM,CogBm,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6643/ses-ofM/sub-6643_ses-ofM_task-CogBm_acq-EPI_run-1_cbv_pfstat.nii.gz,1.19828200340271,0.7210099101066589,4.511841773986816,2.808551788330078,Block
74,EPI,6643,ofM,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6643/ses-ofM/sub-6643_ses-ofM_task-CogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.136161208152771,0.6969427466392517,2.471254587173462,1.544306755065918,Phasic
75,EPI,6654,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6654/ses-ofMr1/sub-6654_ses-ofMr1_task-CogBr_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1439926624298096,0.7086548805236816,2.251723527908325,2.1570582389831543,Block
76,EPI,6655,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6655/ses-ofM/sub-6655_ses-ofM_task-CogB_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1484869718551636,0.7117207050323486,0.7503718733787537,0.5746619701385498,Block
77,EPI,6655,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6655/ses-ofMr1/sub-6655_ses-ofMr1_task-CogBr_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1239277124404907,0.6895256042480469,0.9118686318397522,0.4639478325843811,Block
