,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
54,EPI,6588,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofM/sub-6588_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,-0.49827998876571655,-0.5543967485427856,6588:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
55,EPI,6588,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,2.077660322189331,2.1486034393310547,6588:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
56,EPI,6588,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogP_acq-EPI_run-0_cbv_tstat.nii.gz,0.37786054611206055,0.4417661130428314,6588:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
57,EPI,6589,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofM/sub-6589_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,2.613257884979248,2.6006128787994385,6589:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
58,EPI,6589,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofM/sub-6589_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,0.34847649931907654,0.5600905418395996,6589:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
59,EPI,6589,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofMr1/sub-6589_ses-ofMr1_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,0.5621768832206726,0.15835028886795044,6589:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
60,EPI,6589,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofMr1/sub-6589_ses-ofMr1_task-CogP_acq-EPI_run-0_cbv_tstat.nii.gz,0.9784953594207764,0.8075821995735168,6589:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
61,EPI,6590,ofM,CogBm,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6590/ses-ofM/sub-6590_ses-ofM_task-CogBm_acq-EPI_run-1_cbv_tstat.nii.gz,3.6946792602539062,2.6677658557891846,6590:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
62,EPI,6590,ofM,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6590/ses-ofM/sub-6590_ses-ofM_task-CogP_acq-EPI_run-0_cbv_tstat.nii.gz,0.8332334160804749,0.9159233570098877,6590:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
63,EPI,6591,ofM,CogBm,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6591/ses-ofM/sub-6591_ses-ofM_task-CogBm_acq-EPI_run-0_cbv_tstat.nii.gz,4.864023208618164,4.959129333496094,6591:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
